rank,utterance_length,word_count,utterance,speaker,filename,filepath
5616,35,6,North winds bring colds and fevers.,42fe,081_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/42fe/081_aud.txt
5617,35,8,He asks no person to vouch for him.,42fe,082_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/42fe/082_aud.txt
5618,35,7,Michael is putting on a brave face.,42fe,091_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/42fe/091_aud.txt
5619,35,5,Everything is coming together well.,42fe,133_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/42fe/133_aud.txt
5620,35,8,The idea is the shop within a shop.,42fe,147_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/42fe/147_aud.txt
5621,35,8,They want to play in the World Cup.,42fe,149_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/42fe/149_aud.txt
5622,35,7,This doesn't have to be our future.,42fe,163_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/42fe/163_aud.txt
5623,35,8,In what way shall I have the money?,42fe,187_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/42fe/187_aud.txt
5624,35,8,He wrote down a long list of items.,43fs,037_sil,/home/ultraspeech-dev/ultrasuite/TaL80/core/43fs/037_sil.txt
5625,35,8,He wrote down a long list of items.,43fs,071_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/43fs/071_aud.txt
5626,35,6,You've been working for four years.,43fs,102_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/43fs/102_aud.txt
5627,35,6,Treatment is aimed at the symptoms.,43fs,139_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/43fs/139_aud.txt
5628,35,7,Much of the story makes good sense.,44fs,038_sil,/home/ultraspeech-dev/ultrasuite/TaL80/core/44fs/038_sil.txt
5629,35,7,Much of the story makes good sense.,44fs,072_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/44fs/072_aud.txt
5630,35,8,I seem to keep this for the majors.,44fs,113_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/44fs/113_aud.txt
5631,35,8,We are going to go about our lives.,44fs,119_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/44fs/119_aud.txt
5632,35,8,"I wish they, too, would get a grip.",44fs,123_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/44fs/123_aud.txt
5633,35,6,Wilson made his remarks on Tuesday.,44fs,140_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/44fs/140_aud.txt
5634,35,8,I think my game is suited to grass.,44fs,145_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/44fs/145_aud.txt
5635,35,7,Jerk the dart from the cork target.,45fe,042_sil,/home/ultraspeech-dev/ultrasuite/TaL80/core/45fe/042_sil.txt
5636,35,7,Jerk the dart from the cork target.,45fe,076_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/45fe/076_aud.txt
5637,35,7,No hardship seemed to keep him sad.,46fs,040_sil,/home/ultraspeech-dev/ultrasuite/TaL80/core/46fs/040_sil.txt
5638,35,5,The viewpoint overlooked the ocean.,46fs,046_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/46fs/046_aud.txt
5639,35,7,No hardship seemed to keep him sad.,46fs,074_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/46fs/074_aud.txt
5640,35,7,We actually had a laugh about that.,46fs,097_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/46fs/097_aud.txt
5641,35,6,It looks at public interest issues.,46fs,119_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/46fs/119_aud.txt
5642,35,7,Things start to talk to each other.,46fs,142_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/46fs/142_aud.txt
5643,35,8,I have no sympathy with her at all.,46fs,185_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/46fs/185_aud.txt
5644,35,6,Teachers have been given the offer.,46fs,186_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/46fs/186_aud.txt
5645,35,7,He summoned a laugh and jerked out:,46fs,216_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/46fs/216_aud.txt
5646,35,5,"""Not for worlds!"" exclaimed Neelie.",46fs,217_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/46fs/217_aud.txt
5647,35,4,Clear pronunciation is appreciated.,47ms,049_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/47ms/049_aud.txt
5648,35,7,No details of the talks were given.,47ms,170_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/47ms/170_aud.txt
5649,35,7,He was dead on arrival at hospital.,48ms,114_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/48ms/114_aud.txt
5650,35,7,They made it very difficult for us.,48ms,158_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/48ms/158_aud.txt
5651,35,6,Ten of his companions followed him.,48ms,195_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/48ms/195_aud.txt
5652,35,9,I never told any man that I had it.,48ms,199_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/48ms/199_aud.txt
5653,35,6,Those three weeks are totally lost.,49fe,099_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/49fe/099_aud.txt
5654,35,6,"Together, we can make a difference.",49fe,132_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/49fe/132_aud.txt
5655,35,6,"Sadly, the surface was a nightmare.",49fe,149_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/49fe/149_aud.txt
5656,35,6,After that he became more romantic.,49fe,174_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/49fe/174_aud.txt
5657,35,7,A grey mare walked before the colt.,50ms,038_sil,/home/ultraspeech-dev/ultrasuite/TaL80/core/50ms/038_sil.txt
5658,35,8,Drop the ashes on the worn old rug.,50ms,043_sil,/home/ultraspeech-dev/ultrasuite/TaL80/core/50ms/043_sil.txt
5659,35,7,I ate every oyster on Nora's plate.,50ms,047_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/50ms/047_aud.txt
5660,35,7,A grey mare walked before the colt.,50ms,072_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/50ms/072_aud.txt
5661,35,8,Drop the ashes on the worn old rug.,50ms,077_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/50ms/077_aud.txt
5662,35,8,This is a matter of life and death.,50ms,080_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/50ms/080_aud.txt
5663,35,7,I will speak to Michael about this.,50ms,082_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/50ms/082_aud.txt
5664,35,7,"In both cases, I suffered a fiasco.",50ms,154_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/50ms/154_aud.txt
5665,35,7,What did you learn in school today?,50ms,175_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/50ms/175_aud.txt
5666,35,8,I'm just glad that no one was hurt.,50ms,182_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/50ms/182_aud.txt
5667,35,7,The wall phone rang loud and often.,51fe,040_sil,/home/ultraspeech-dev/ultrasuite/TaL80/core/51fe/040_sil.txt
5668,35,7,The wall phone rang loud and often.,51fe,074_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/51fe/074_aud.txt
5669,35,5,Every case is completely different.,51fe,118_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/51fe/118_aud.txt
5670,35,7,Who is to benefit from this change?,51fe,143_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/51fe/143_aud.txt
5671,35,5,His team management was protective.,52fs,082_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/52fs/082_aud.txt
5672,35,6,But the foundations have been laid.,52fs,086_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/52fs/086_aud.txt
5673,35,7,The cause of the crash was unclear.,52fs,092_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/52fs/092_aud.txt
5674,35,9,It took a month and a half to film.,52fs,097_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/52fs/097_aud.txt
5675,35,8,I haven't been able to do it since.,52fs,114_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/52fs/114_aud.txt
5676,35,7,There was nothing else to match it.,52fs,165_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/52fs/165_aud.txt
5677,35,7,"The old manager, he didn't like me.",52fs,170_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/52fs/170_aud.txt
5678,35,7,We do things in an appropriate way.,52fs,173_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/52fs/173_aud.txt
5679,35,6,There will be good prospects ahead.,52fs,183_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/52fs/183_aud.txt
5680,35,5,Fiddles screeched; a piano tinkled.,53fe,069_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/53fe/069_aud.txt
5681,35,8,Colour was at the core of his life.,53fe,140_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/53fe/140_aud.txt
5682,35,6,Are holiday aprons available to us?,54mn,048_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/54mn/048_aud.txt
5683,35,6,We are entirely happy with Russell.,54mn,086_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/54mn/086_aud.txt
5684,35,8,I am very sorry to hear about this.,54mn,107_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/54mn/107_aud.txt
5685,35,8,I can't wait for the season to end.,54mn,136_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/54mn/136_aud.txt
5686,35,6,"Well, that's just a third district.",54mn,168_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/54mn/168_aud.txt
5687,35,8,The country is in a state of chaos.,54mn,169_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/54mn/169_aud.txt
5688,35,6,Oh yes. But eh? Needlessly abusive?,54mn,194_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/54mn/194_aud.txt
5689,35,5,Police are appealing for witnesses.,55fs,128_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/55fs/128_aud.txt
5690,35,8,He was at the outset of his career.,55fs,129_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/55fs/129_aud.txt
5691,35,7,"But then, that really is the point.",55fs,138_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/55fs/138_aud.txt
5692,35,7,I'm not allowed to speak to anyone.,55fs,139_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/55fs/139_aud.txt
5693,35,6,It appears to have been successful.,55fs,143_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/55fs/143_aud.txt
5694,35,6,The industry is not well organised.,55fs,162_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/55fs/162_aud.txt
5695,35,7,Look at the potential of this club.,55fs,177_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/55fs/177_aud.txt
5696,35,8,Take a chance and win a china doll.,56me,041_sil,/home/ultraspeech-dev/ultrasuite/TaL80/core/56me/041_sil.txt
5697,35,5,They often threw tidbits overboard.,56me,063_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/56me/063_aud.txt
5698,35,6,Andrei's skilled eye sized them up.,56me,068_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/56me/068_aud.txt
5699,35,8,Take a chance and win a china doll.,56me,075_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/56me/075_aud.txt
5700,35,5,The initial reaction was disbelief.,56me,083_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/56me/083_aud.txt
5701,35,6,Here the picture is broadly stable.,56me,133_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/56me/133_aud.txt
5702,35,7,She returned home a few days later.,56me,181_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/56me/181_aud.txt
5703,35,7,The team this year is going places.,57ms,088_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/57ms/088_aud.txt
5704,35,7,"Aye, but who do you really support?",57ms,108_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/57ms/108_aud.txt
5705,35,7,"Of further privacy, he had no need.",57ms,153_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/57ms/153_aud.txt
5706,35,8,It is physical but it is also good.,57ms,184_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/57ms/184_aud.txt
5707,35,7,"Locally, too, the MP is under fire.",58fs,099_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/58fs/099_aud.txt
5708,35,9,We have a long way to go this week.,58fs,125_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/58fs/125_aud.txt
5709,35,8,They seem too much of a sure thing.,58fs,135_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/58fs/135_aud.txt
5710,35,7,We are very happy with the verdict.,59fe,112_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/59fe/112_aud.txt
5711,35,7,It is understood they saw one body.,59fe,118_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/59fe/118_aud.txt
5712,35,6,How things have changed since then.,60ms,142_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/60ms/142_aud.txt
5713,35,8,I will not walk away from this job.,60ms,157_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/60ms/157_aud.txt
5714,35,7,We have reacted well to each other.,60ms,168_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/60ms/168_aud.txt
5715,35,7,The eye was badly closed on Sunday.,60ms,183_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/60ms/183_aud.txt
5716,35,7,I cannot describe the horror of it.,60ms,198_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/60ms/198_aud.txt
5717,35,5,There were other farmhouses nearby.,61fs,062_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/61fs/062_aud.txt
5718,35,7,"It does not move, which is amazing.",61fs,106_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/61fs/106_aud.txt
5719,35,6,They thought they couldn't get any.,61fs,135_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/61fs/135_aud.txt
5720,35,5,Debate was impassioned and furious.,61fs,141_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/61fs/141_aud.txt
5721,35,7,I believe that gap is nearly there.,61fs,142_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/61fs/142_aud.txt
5722,35,8,Why you did it will never be known.,62me,081_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/62me/081_aud.txt
5723,35,8,We would like to see them in court.,62me,103_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/62me/103_aud.txt
5724,35,7,This was done by the council staff.,62me,136_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/62me/136_aud.txt
5725,35,7,Do not give your details to anyone.,62me,147_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/62me/147_aud.txt
5726,35,8,In the end we made too many errors.,63me,131_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/63me/131_aud.txt
5727,35,6,"However, that is just for starters.",63me,137_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/63me/137_aud.txt
5728,35,7,"We were in Italy suddenly, we knew.",63me,157_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/63me/157_aud.txt
5729,35,7,They are going to carry it through.,63me,166_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/63me/166_aud.txt
5730,35,5,Election results are expected soon.,63me,169_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/63me/169_aud.txt
5731,35,8,Would he be able to live with that?,63me,178_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/63me/178_aud.txt
5732,35,7,A new idea drifted in from nowhere.,64me,061_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/64me/061_aud.txt
5733,35,8,I was not fit enough and it showed.,64me,083_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/64me/083_aud.txt
5734,35,6,It expected this trend to continue.,64me,090_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/64me/090_aud.txt
5735,35,8,There did not need to be a miracle.,64me,114_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/64me/114_aud.txt
5736,35,7,But he is frustrated at every turn.,64me,125_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/64me/125_aud.txt
5737,35,8,It is time for the talking to stop.,64me,146_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/64me/146_aud.txt
5738,35,7,On the contrary they stand to gain.,64me,148_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/64me/148_aud.txt
5739,35,5,Both offices were closed yesterday.,64me,170_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/64me/170_aud.txt
5740,35,7,All will be revealed in due course.,65ms,112_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/65ms/112_aud.txt
5741,35,7,It is a difficult thing to explain.,65ms,131_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/65ms/131_aud.txt
5742,35,6,I found that much more challenging.,65ms,139_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/65ms/139_aud.txt
5743,35,6,"No, we were not exactly favourites.",65ms,151_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/65ms/151_aud.txt
5744,35,6,They need to look after themselves.,65ms,168_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/65ms/168_aud.txt
5745,35,9,In the end we have to take a stand.,65ms,173_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/65ms/173_aud.txt
5746,35,6,"""And then you came,"" she continued.",65ms,194_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/65ms/194_aud.txt
5747,35,6,We don't know anything against him!,65ms,217_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/65ms/217_aud.txt
5748,35,6,This does not create any precedent.,66fs,156_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/66fs/156_aud.txt
5749,35,6,I'm really excited about the album.,66fs,163_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/66fs/163_aud.txt
5750,35,7,Light maple makes for a swell room.,67fe,037_sil,/home/ultraspeech-dev/ultrasuite/TaL80/core/67fe/037_sil.txt
5751,35,7,Set the piece here and say nothing.,67fe,038_sil,/home/ultraspeech-dev/ultrasuite/TaL80/core/67fe/038_sil.txt
5752,35,7,"Oh yes, he'd talked about doing so.",67fe,068_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/67fe/068_aud.txt
5753,35,7,Light maple makes for a swell room.,67fe,071_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/67fe/071_aud.txt
5754,35,7,Set the piece here and say nothing.,67fe,072_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/67fe/072_aud.txt
5755,35,8,He is a master of deceit and delay.,67fe,085_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/67fe/085_aud.txt
5756,35,7,In fact it isn't related to either.,67fe,115_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/67fe/115_aud.txt
5757,35,7,It doesn't have to be in Inverness.,67fe,147_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/67fe/147_aud.txt
5758,35,5,Jamming would be equally difficult.,67fe,154_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/67fe/154_aud.txt
5759,35,8,"I hope I find you well, Miss Heron?",67fe,186_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/67fe/186_aud.txt
5760,35,7,A thin stripe runs down the middle.,68fs,041_sil,/home/ultraspeech-dev/ultrasuite/TaL80/core/68fs/041_sil.txt
5761,35,7,A thin stripe runs down the middle.,68fs,084_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/68fs/084_aud.txt
5762,35,7,It's a good offer by any standards.,68fs,120_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/68fs/120_aud.txt
5763,35,7,I have played really well all year.,68fs,132_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/68fs/132_aud.txt
5764,35,7,It is not about changing our image.,68fs,158_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/68fs/158_aud.txt
5765,35,7,The early phase of life moves fast.,69fs,040_sil,/home/ultraspeech-dev/ultrasuite/TaL80/core/69fs/040_sil.txt
5766,35,7,The early phase of life moves fast.,69fs,074_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/69fs/074_aud.txt
5767,35,8,I would have been shot dead in bed.,69fs,092_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/69fs/092_aud.txt
5768,35,5,Further details are expected later.,69fs,104_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/69fs/104_aud.txt
5769,35,7,The event has now gone to Helsinki.,69fs,113_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/69fs/113_aud.txt
5770,35,8,I think we have a very strong case.,69fs,136_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/69fs/136_aud.txt
5771,35,7,It is about control of our economy.,69fs,139_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/69fs/139_aud.txt
5772,35,6,These people just lost their child.,69fs,158_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/69fs/158_aud.txt
5773,35,8,It feels as if my head were ripped.,69fs,192_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/69fs/192_aud.txt
5774,35,6,"However, you know your own concern.",69fs,198_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/69fs/198_aud.txt
5775,35,5,"Still, some additions are inspired.",70ms,099_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/70ms/099_aud.txt
5776,35,7,The crucial strike was yet to come.,70ms,107_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/70ms/107_aud.txt
5777,35,8,It was all for good reason as well.,70ms,182_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/70ms/182_aud.txt
5778,35,7,They thought they had found a home.,71fi,106_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/71fi/106_aud.txt
5779,35,5,Sponsors include the Sunday Herald.,71fi,135_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/71fi/135_aud.txt
5780,35,6,The legal process could last weeks.,71fi,141_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/71fi/141_aud.txt
5781,35,6,Dimes showered down from all sides.,72fe,039_sil,/home/ultraspeech-dev/ultrasuite/TaL80/core/72fe/039_sil.txt
5782,35,6,The mud-wagon had caught fire also.,72fe,063_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/72fe/063_aud.txt
5783,35,6,Dimes showered down from all sides.,72fe,073_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/72fe/073_aud.txt
5784,35,6,He said current trading was strong.,72fe,110_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/72fe/110_aud.txt
5785,35,8,She told me to apply for the crest.,72fe,141_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/72fe/141_aud.txt
5786,35,7,Its first awards will do just that.,72fe,178_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/72fe/178_aud.txt
5787,35,8,"""May I not come near you?"" it said.",72fe,203_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/72fe/203_aud.txt
5788,35,8,He scored one goal and was on fire.,73fe,122_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/73fe/122_aud.txt
5789,35,8,It is a question of life and death.,73fe,136_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/73fe/136_aud.txt
5790,35,7,The poor boy missed the boat again.,74ms,042_sil,/home/ultraspeech-dev/ultrasuite/TaL80/core/74ms/042_sil.txt
5791,35,7,The poor boy missed the boat again.,74ms,076_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/74ms/076_aud.txt
5792,35,8,It was a privilege to work for him.,74ms,109_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/74ms/109_aud.txt
5793,35,7,The goal will stay with me forever.,74ms,110_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/74ms/110_aud.txt
5794,35,7,Donald was a man with many friends.,74ms,141_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/74ms/141_aud.txt
5795,35,6,The chemic reactions were the same.,74ms,212_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/74ms/212_aud.txt
5796,35,7,The night shift men rate extra pay.,75fe,043_sil,/home/ultraspeech-dev/ultrasuite/TaL80/core/75fe/043_sil.txt
5797,35,7,See the player scoot to third base.,75fe,045_sil,/home/ultraspeech-dev/ultrasuite/TaL80/core/75fe/045_sil.txt
5798,35,6,John cleans shellfish for a living.,75fe,047_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/75fe/047_aud.txt
5799,35,7,The night shift men rate extra pay.,75fe,077_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/75fe/077_aud.txt
5800,35,7,See the player scoot to third base.,75fe,085_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/75fe/085_aud.txt
5801,35,7,We have no plans for direct action.,75fe,086_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/75fe/086_aud.txt
5802,35,8,We need to get the right people in.,75fe,112_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/75fe/112_aud.txt
5803,35,6,He intends to appeal the sentences.,75fe,130_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/75fe/130_aud.txt
5804,35,7,The home team had an amazing start.,75fe,161_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/75fe/161_aud.txt
5805,35,5,That was a disgraceful performance.,75fe,177_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/75fe/177_aud.txt
5806,35,8,You have to have a sense of humour.,76fe,109_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/76fe/109_aud.txt
5807,35,7,There's nothing they can get on me.,76fe,112_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/76fe/112_aud.txt
5808,35,8,"Once a dog barked, his own dog Nig.",76fe,197_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/76fe/197_aud.txt
5809,35,7,He was determined to write a novel.,77ms,130_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/77ms/130_aud.txt
5810,35,8,No date has been set for a meeting.,77ms,141_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/77ms/141_aud.txt
5811,35,8,It is like a theatre of the absurd.,78ms,125_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/78ms/125_aud.txt
5812,35,8,For him then it's a labour of love.,78ms,133_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/78ms/133_aud.txt
5813,35,7,The sun is worth a million dollars.,78ms,172_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/78ms/172_aud.txt
5814,35,6,I don't know exactly what happened.,78ms,188_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/78ms/188_aud.txt
5815,35,7,"Our boy didn't chicken out, no sir.",79fe,068_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/79fe/068_aud.txt
5816,35,7,Whatever you tell him he will dive.,79fe,069_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/79fe/069_aud.txt
5817,35,8,He hadn't had them for a long time.,79fe,102_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/79fe/102_aud.txt
5818,35,7,Britain hasn't seen it in this way.,79fe,106_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/79fe/106_aud.txt
5819,35,6,I feel confident about the outcome.,79fe,120_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/79fe/120_aud.txt
5820,35,7,She was only eager and happy again.,79fe,192_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/79fe/192_aud.txt
5821,35,8,We go out so little in the daytime.,79fe,225_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/79fe/225_aud.txt
5822,35,7,"Are you a thrower of flame, marine?",80me,061_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/80me/061_aud.txt
